iter	Passed	Remaining
0	0	67
1	1	60
2	2	77
3	2	68
4	3	68
5	5	89
6	7	100
7	9	109
8	11	113
9	12	114
10	14	117
11	16	120
12	18	121
13	19	120
14	21	120
15	22	119
16	24	119
17	26	118
18	27	118
19	29	118
20	31	117
21	32	115
22	34	114
23	35	111
24	36	109
25	37	107
26	39	106
27	40	104
28	41	102
29	43	101
30	44	99
31	46	98
32	47	96
33	48	94
34	49	92
35	51	90
36	52	88
37	53	86
38	54	85
39	55	83
40	57	82
41	57	79
42	58	77
43	59	75
44	60	74
45	61	72
46	62	70
47	64	69
48	65	67
49	66	66
50	67	64
51	68	63
52	69	61
53	70	59
54	71	58
55	72	56
56	73	55
57	74	53
58	75	52
59	76	50
60	77	49
61	78	47
62	79	46
63	80	45
64	81	43
65	81	42
66	82	40
67	83	39
68	84	38
69	85	36
70	86	35
71	87	33
72	88	32
73	88	31
74	89	29
75	90	28
76	91	27
77	91	25
78	92	24
79	93	23
80	94	22
81	94	20
82	95	19
83	96	18
84	97	17
85	97	15
86	98	14
87	99	13
88	99	12
89	100	11
90	101	10
91	102	8
92	102	7
93	103	6
94	104	5
95	104	4
96	105	3
97	105	2
98	106	1
99	106	0
