iter	Passed	Remaining
0	139	139830
1	142	71000
2	145	48217
3	147	36808
4	150	29952
5	152	25284
6	155	21994
7	158	19668
8	162	17870
9	164	16320
10	166	15008
11	168	13904
12	171	13014
13	173	12205
14	175	11499
15	176	10854
16	177	10283
17	179	9773
18	181	9364
19	182	8946
20	183	8561
21	184	8212
22	186	7902
23	187	7610
24	188	7339
25	189	7084
26	190	6850
27	191	6635
28	192	6434
29	193	6257
30	194	6080
31	195	5916
32	196	5759
33	197	5607
34	198	5468
35	199	5336
36	200	5222
37	201	5107
38	202	4994
39	203	4888
40	204	4790
41	205	4693
42	206	4602
43	207	4514
44	208	4429
45	209	4346
46	210	4267
47	211	4194
48	212	4123
49	213	4060
50	214	3997
51	215	3934
52	216	3872
53	217	3813
54	218	3757
55	219	3702
56	220	3653
57	221	3602
58	222	3554
59	223	3505
60	224	3460
61	225	3414
62	226	3370
63	227	3333
64	229	3295
65	229	3254
66	231	3216
67	231	3179
68	233	3145
69	233	3108
70	235	3081
71	236	3048
72	237	3015
73	238	2982
74	239	2951
75	240	2921
76	241	2890
77	241	2860
78	243	2833
79	244	2806
80	244	2779
81	247	2765
82	247	2734
83	248	2709
84	249	2685
85	250	2664
86	251	2640
87	252	2618
88	253	2596
89	254	2574
90	255	2552
91	256	2531
92	257	2510
93	258	2492
94	259	2473
95	260	2455
96	261	2435
97	262	2417
98	263	2398
99	264	2382
100	265	2365
101	266	2349
102	267	2331
103	268	2314
104	269	2298
105	270	2282
106	271	2267
107	272	2252
108	273	2238
109	274	2224
110	275	2209
111	276	2196
112	277	2181
113	279	2168
114	280	2155
115	281	2141
116	281	2126
117	282	2113
118	283	2101
119	284	2088
120	285	2077
121	286	2062
122	287	2052
123	289	2042
124	290	2031
125	291	2021
126	292	2007
127	292	1995
128	293	1983
129	294	1974
130	296	1967
131	297	1957
132	298	1946
133	299	1935
134	300	1926
135	301	1915
136	302	1906
137	304	1898
138	305	1889
139	306	1880
140	307	1871
141	307	1859
142	308	1850
143	309	1842
144	311	1835
145	312	1826
146	313	1816
147	313	1807
148	315	1803
149	316	1794
150	317	1784
151	318	1778
152	319	1770
153	320	1762
154	321	1753
155	322	1746
156	323	1738
157	324	1731
158	325	1723
159	326	1715
160	327	1706
161	328	1701
162	329	1693
163	330	1686
164	331	1679
165	332	1671
166	333	1664
167	334	1659
168	335	1651
169	336	1643
170	337	1638
171	338	1631
172	339	1624
173	341	1622
174	342	1615
175	343	1608
176	344	1601
177	345	1594
178	346	1587
179	347	1584
180	348	1578
181	349	1572
182	350	1566
183	351	1560
184	352	1554
185	354	1553
186	356	1547
187	357	1542
188	358	1536
189	359	1530
190	361	1529
191	362	1523
192	362	1517
193	363	1511
194	365	1507
195	366	1501
196	367	1496
197	367	1490
198	368	1484
199	369	1479
200	371	1475
201	372	1471
202	373	1466
203	374	1461
204	375	1456
205	376	1451
206	377	1445
207	378	1441
208	380	1439
209	381	1435
210	382	1430
211	383	1424
212	384	1420
213	385	1415
214	386	1411
215	387	1406
216	388	1402
217	389	1397
218	390	1392
219	391	1388
220	392	1383
221	393	1379
222	394	1375
223	395	1371
224	396	1367
225	397	1363
226	399	1360
227	400	1356
228	401	1352
229	402	1349
230	404	1345
231	405	1342
232	406	1337
233	407	1332
234	408	1328
235	409	1324
236	410	1322
237	411	1318
238	412	1314
239	413	1309
240	414	1305
241	415	1301
242	416	1298
243	417	1295
244	419	1291
245	420	1287
246	421	1283
247	421	1279
248	422	1275
249	423	1271
250	425	1268
251	426	1265
252	427	1261
253	428	1258
254	429	1253
255	430	1252
256	432	1249
257	433	1245
258	434	1242
259	435	1238
260	436	1234
261	437	1231
262	438	1227
263	438	1223
264	439	1220
265	441	1216
266	441	1213
267	443	1210
268	444	1207
269	445	1203
270	446	1200
271	447	1197
272	448	1194
273	449	1190
274	450	1187
275	451	1183
276	452	1180
277	452	1176
278	453	1172
279	454	1169
280	456	1167
281	457	1164
282	458	1161
283	459	1157
284	460	1154
285	461	1151
286	462	1149
287	463	1146
288	464	1143
289	465	1140
290	466	1137
291	467	1133
292	468	1130
293	469	1128
294	471	1126
295	472	1123
296	473	1120
297	474	1117
298	475	1114
299	476	1112
300	477	1109
301	478	1106
302	479	1103
303	480	1100
304	481	1097
305	483	1095
306	484	1092
307	485	1090
308	486	1087
309	488	1087
310	489	1084
311	490	1081
312	491	1078
313	492	1075
314	493	1073
315	494	1070
316	495	1067
317	496	1064
318	497	1061
319	498	1059
320	499	1056
321	501	1056
322	502	1053
323	503	1050
324	504	1048
325	505	1045
326	507	1044
327	508	1042
328	510	1040
329	511	1037
330	512	1035
331	514	1034
332	515	1032
333	516	1030
334	517	1028
335	519	1025
336	519	1022
337	522	1022
338	523	1020
339	524	1018
340	525	1015
341	526	1013
342	527	1010
343	528	1008
344	529	1005
345	530	1003
346	531	1001
347	533	998
348	533	995
349	551	1023
350	554	1024
351	559	1030
352	568	1041
353	571	1043
354	574	1042
355	575	1041
356	577	1039
357	580	1040
358	583	1041
359	584	1039
360	585	1037
361	588	1036
362	589	1034
363	590	1032
364	592	1030
365	594	1030
366	595	1027
367	597	1025
368	598	1022
369	598	1019
370	600	1017
371	601	1014
372	602	1012
373	603	1009
374	604	1006
375	605	1004
376	606	1002
377	607	999
378	609	998
379	610	996
